time,order,avg_nn_distance
1,0.9276601925888444,30.089484009396493
2,0.9280626197152867,29.934045307570496
3,0.9284788407149559,29.748782199730613
4,0.928832846534046,29.523479774503386
5,0.9291522232716127,29.27414728455968
6,0.9294794369519802,29.021094828163474
7,0.9298118502202359,28.759838770822707
8,0.930143747243673,28.513153310368363
9,0.9304697075907974,28.274609717526854
10,0.9307854992764213,28.046237550126595
11,0.9310873104084699,27.83412805406617
12,0.9313721055415881,27.6287079180214
13,0.9316191844564596,27.452555143171832
14,0.931829582294354,27.30576016079476
15,0.9256420013956209,27.199662546327897
16,0.9257643027310387,27.02541905017172
17,0.925843674377,26.8686307527348
18,0.9258757266401454,26.707831430108314
19,0.9258624918822893,26.516657913052903
20,0.9258086320325399,26.30851278704963
21,0.9257154800281769,26.111183735017914
22,0.9255812669510831,25.919495220354097
23,0.9254156896573968,25.734293718662002
24,0.9252177021460872,25.551862124313594
25,0.9249774312516466,25.393773646566334
26,0.9247060210494986,25.249215983325143
27,0.9243892212714162,25.122141510505408
28,0.9240319562164379,25.00285465937325
29,0.9237251461156006,25.209629888746857
30,0.9237658699024,25.06804348647168
31,0.9237639133703446,24.90706340334381
32,0.9236972100581046,24.726789562038437
33,0.9235828189394091,24.55418717220958
34,0.9234334335408336,24.37567129286888
35,0.9232403470510246,24.19735305797846
36,0.9230010629256565,23.99942406748304
37,0.9227219696909111,23.76484159158192
38,0.9224014095712809,23.53273921859357
39,0.9264105933356949,22.25693024869343
40,0.926049601601519,22.008872948912682
41,0.9256361677215057,21.760140099550277
42,0.9251736729680377,21.506403794238363
43,0.9246578816574904,21.27331935755335
44,0.9241237541101672,21.083259803566484
45,0.9235622074251552,20.897026506008807
46,0.9229660390827018,20.695826269786313
47,0.9223383721858053,20.498076070320707
48,0.921646513524407,20.32555288992856
49,0.9209065446405665,20.175802812211927
50,0.9201273670649259,20.034610806302638
