time,order,avg_nn_distance
1,0.9260189677548829,28.752477191583168
2,0.9260862151366048,28.691108994637556
3,0.9261271917029116,28.585927389663244
4,0.9261575511630276,28.461922609964166
5,0.9310597087990531,27.65446298705113
6,0.9311086334188832,27.415493801359617
7,0.9311659037712056,27.192378773748043
8,0.93122144577567,26.937815961116897
9,0.9312711791341726,26.670145343946977
10,0.9313081795489966,26.41267507206176
11,0.9374353363202417,25.439067263684898
12,0.9375392817164829,25.16077183506288
13,0.9376393284531156,24.910166246082966
14,0.9378429215429285,24.59934772640221
15,0.9380302442367432,24.304163454826718
16,0.9382053891676082,23.988384487626575
17,0.9370052435827816,26.454023431062204
18,0.9373573043067066,26.155698643607725
19,0.9373194800959844,23.044255558024545
20,0.9378373307429512,22.673987488988292
21,0.938353152033732,22.28906683612515
22,0.938866596532447,21.91393046671611
23,0.9393775639528659,21.454984320136237
24,0.939893181688445,20.992362199583805
25,0.9403990416091109,20.557928350537736
26,0.9408967691043357,20.11792289641186
27,0.9413863289102199,19.643765183179326
28,0.9418626109962797,19.193949063066267
29,0.9423308423639635,18.764998477343326
30,0.9427986161475179,18.377376365465683
31,0.9432457561234956,18.03357309804842
32,0.9436654433327918,17.722821515729173
33,0.9440799754064257,17.42204103355332
34,0.9445259627400006,17.146088718798886
35,0.9449633831119276,16.915501450385527
36,0.9453850766774119,16.714607898497654
37,0.9458120402253704,16.521002774324316
38,0.9462005086867777,16.295165005787116
39,0.9465983766059344,16.06214055501447
40,0.9469534491403848,15.826173931647546
41,0.9473176460509646,15.59849396966212
42,0.9476431977270217,15.394325536617087
43,0.9479773764150714,15.211977671625059
44,0.9482823532673244,15.050858807498038
45,0.9485928259649371,14.914890360525087
46,0.9488798105728242,14.792740036348588
47,0.9491664237494122,14.612813451266884
48,0.9494302834618038,14.34187550047591
49,0.9496891548603082,14.076200070126925
50,0.9499253003564734,13.842503565083817
