cooperative,dominant
500,500
500,500
593,636
626,646
648,664
661,721
656,719
671,746
695,731
681,714
705,683
707,714
703,721
689,734
655,731
663,690
682,689
673,722
683,718
689,737
683,717
687,690
718,697
743,724
748,715
730,718
717,661
775,597
799,642
771,710
758,692
766,673
760,699
753,664
780,667
730,703
728,674
742,686
755,644
750,626
765,655
783,662
759,676
737,673
718,674
717,708
723,713
725,728
720,687
695,701
728,691
720,706
711,708
670,754
636,753
621,746
620,761
629,732
643,724
653,736
636,696
643,729
639,745
624,740
605,778
590,719
616,731
595,716
644,748
625,708
632,733
618,738
606,735
617,742
627,679
671,635
712,679
739,685
747,701
752,730
733,685
726,719
704,663
708,677
691,727
681,746
668,755
643,731
666,707
680,697
689,724
660,730
625,715
667,704
668,708
677,741
657,723
659,726
646,712
622,748
607,734
