cooperative,dominant
500,500
500,500
587,585
658,635
675,649
736,659
749,677
768,664
769,667
754,715
732,704
720,660
696,710
698,668
698,703
699,700
696,680
711,702
681,761
667,732
645,768
619,737
562,738
574,733
549,808
546,759
518,752
528,786
538,747
556,739
566,723
577,708
584,742
574,757
558,795
533,775
512,764
529,758
545,727
552,710
570,739
572,775
566,749
558,750
566,754
555,692
573,676
617,663
625,669
671,720
641,723
656,704
649,692
674,628
741,646
780,698
758,698
773,702
768,702
727,670
764,698
737,694
722,647
744,712
724,711
703,682
685,702
718,688
702,678
701,674
690,667
667,739
691,725
632,785
618,707
621,743
625,756
645,752
649,761
641,690
645,724
657,712
670,689
716,671
744,687
746,710
761,661
808,673
785,697
766,714
766,713
731,710
726,664
794,656
814,665
830,633
837,661
867,624
878,647
862,700
853,694
