time,avg_nn_distance
1,30.225976481380563
2,29.95034466319357
3,29.629513922891483
4,29.219999468719095
5,28.829754960920972
6,28.41505594229701
7,27.993136888153032
8,27.576516067488
9,27.161993444659288
10,26.76702832086201
11,26.332015139940733
12,25.940636627408935
13,25.515862961595577
14,25.149195603582605
15,24.795017252571544
16,24.849403810821247
17,24.380983397450986
18,24.07700717706488
19,23.77996583493557
20,23.035780504480638
21,22.76114947280279
22,22.703636845091687
23,22.46144877643284
24,22.23899776133694
25,22.03594333879198
26,21.88342316317114
27,21.68786705044637
28,21.840046057552502
29,21.66156077582789
30,21.49610751110159
31,21.34472688016738
32,20.976981371459566
33,20.993203072494946
34,20.88013700218097
35,20.25943680151458
36,20.098136175185104
37,19.986707323663246
38,19.88521409076361
39,19.802010888337755
40,19.696633988001967
41,19.59947556642618
42,20.00673941437158
43,19.903766330487727
44,19.739402669918906
45,19.07980731551093
46,19.00571257542237
47,18.942235947701327
48,19.357146610138656
49,19.32664906354521
50,19.887398512085007
