time,order,avg_nn_distance
1,0.9437721920004033,29.419804182534143
2,0.9434138357470195,29.29569643622723
3,0.9430513311631885,29.14978559408266
4,0.9426773209818369,28.983019984231472
5,0.9422953884431212,28.816469291204964
6,0.9419078381024049,28.62330104178653
7,0.9415169289798234,28.400666464667225
8,0.9376688536143,28.675667857556387
9,0.9373815610781858,28.402029061915204
10,0.9370830627228929,28.162680258597078
11,0.9367798442142248,27.96357496917548
12,0.9364843666601941,27.804537372154364
13,0.9361939534028996,27.670238118239762
14,0.9358970793521748,27.564209563692728
15,0.9355900882804243,27.484468133442757
16,0.9306597614107252,27.293586651154186
17,0.930316607823307,27.20338635575779
18,0.9299448925642451,27.15769069706328
19,0.9329496173272704,27.550738319218777
20,0.9327112887033596,27.524538315038562
21,0.9324676164835402,27.5230579741961
22,0.9322188388285012,27.5284129224641
23,0.931964948406833,27.542656697794612
24,0.9317060726327248,27.5400838207893
25,0.9314568784407105,27.558746840734106
26,0.9380461419638665,29.579057164543638
27,0.9378585658314428,29.627124806195017
28,0.9376740541819606,29.690710915295817
29,0.9375870961746524,29.769526789815917
30,0.9375525188463765,29.83542035700992
31,0.9313695549232142,29.991980477812184
32,0.9264923287819421,30.248183251842462
33,0.9265740512695912,30.227217333139194
34,0.9266450567027087,30.16727260931009
35,0.9267038745439967,30.099248953677314
36,0.9267519689390348,30.056216818536363
37,0.9336884879024262,27.481962137984475
38,0.9337423369317537,27.43928610770063
39,0.9337828237746533,27.412668680958603
40,0.9338095503751063,27.38724245533691
41,0.9338221695538639,27.338776900251435
42,0.933820326072601,27.30137491437737
43,0.9338036300576406,27.274838404862038
44,0.9337716450483492,27.258807680121194
45,0.9337238819577738,27.253023192600985
46,0.9336597950755864,27.25729124554532
47,0.9335787785201846,27.27146378730122
48,0.9334801625577503,27.29542523627763
49,0.932985039842277,27.088345845198415
50,0.9329690120031257,26.995108609709327
