time,avg_nn_distance
1,29.734548605758487
2,29.576334226810168
3,29.742464975546227
4,29.755036523710324
5,29.827812009250728
6,29.709704573517932
7,29.54697957204478
8,29.520327365935668
9,29.72609348176214
10,29.73264160887328
11,29.77107446517807
12,30.168992497364663
13,30.164808870754474
14,30.112075481046297
15,29.95756820433611
16,29.93003015397383
17,29.903515996257664
18,29.877866618539247
19,29.749937681298007
20,29.730214379427235
21,29.74037526888123
22,29.956291547377816
23,29.940220620043796
24,29.92596184482759
25,29.972954797469708
26,29.975565290668953
27,29.794929866304766
28,30.016614038008793
29,30.187602654778384
30,30.12408345259566
31,30.17994087869987
32,30.249919567472013
33,30.09126277358904
34,30.33060367453055
35,30.284302592420477
36,30.46720889567253
37,30.71345282417003
38,30.644868522033402
39,30.477557723659515
40,30.44067933254238
41,30.425134050854297
42,30.38462729427913
43,30.71090146429658
44,30.69181588891243
45,30.718352249866655
46,30.768657900846232
47,30.776813056165196
48,30.81831292343079
49,30.86283543585224
50,30.906581597928312
