time,avg_nn_distance
1,30.533190511470444
2,30.707448119662878
3,30.19493131724841
4,29.93513044088226
5,29.65789992884159
6,29.19244121317517
7,28.89101498242345
8,28.5784881686509
9,28.262907005780278
10,27.93937868069176
11,27.594636954156933
12,27.23930894905112
13,26.899250927497103
14,26.575530998534123
15,26.533609165662977
16,26.260034070260787
17,25.751849801836357
18,25.539375337866257
19,25.297304167426887
20,25.071637257305063
21,24.902861593196068
22,25.093277832452422
23,24.885823336044858
24,25.204188350004706
25,24.91039074708589
26,24.719364269945054
27,24.52863961993977
28,24.276890849101633
29,24.32844901703236
30,24.13122063370734
31,23.773680849492166
32,23.284338370443557
33,23.111985716176527
34,22.959200614098098
35,22.804121928965383
36,22.665979034129407
37,23.229474839736614
38,23.217366791761528
39,23.092287861444554
40,23.063334273523076
41,22.923461892502363
42,22.786426477245026
43,21.92182137527056
44,21.793852023015027
45,21.656382456283033
46,21.335473983263764
47,21.313903260413873
48,21.258980401165307
49,21.37865717768286
50,21.26308574290322
